,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
902,Grow Old With Me,Mary Chapin Carpenter,1Db0VtDXT3QRiQCmBo4IPX,1989,0.448,0.103,-13.545,0.0313,0.979,0.149,0.271,75.493,-52.0094908374906
903,Lay Down Beside Me,Alison Krauss,4H5mY5OeUGWaidigLLPeoE,2007-01-01,0.345,0.251,-12.326,0.0277,0.623,0.0847,0.268,74.761,-52.57668605615694
904,Come Home Soon,SHeDAISY,5q8WL51d8vXvGSwDdfzgJ0,2004-01-01,0.279,0.431,-6.926,0.032,0.658,0.101,0.257,183.18,-54.20894695771689
905,How Can I Help You Say Goodbye,Patty Loveless,04f1rOkeyOqYQQzPJZk9JS,1993-04-20,0.499,0.201,-12.145,0.0276,0.818,0.143,0.234,72.139,-55.16376481771855
906,A Bad Goodbye (with Wynonna),Clint Black,1XTgqedadpTqNod7SvpiP1,1993-07-05,0.401,0.261,-10.409,0.0315,0.8,0.215,0.192,70.805,-56.33538026149298
907,In This Life,Collin Raye,23pfdUHpgliOM6vktwN5HH,1991,0.539,0.232,-9.845,0.0267,0.86,0.138,0.388,62.513,-64.57253387654009
908,Unforgettable,Thomas Rhett,30MM5jWpUmOxtTNd9Ey5LZ,2017-09-08,0.661,0.75,-5.497,0.0314,0.0303,0.0849,0.828,130.077,-1.2545395738384881
909,If I Die Young,The Band Perry,4u26EevCNXMhlvE1xFBJwX,2010-01-01,0.606,0.497,-6.611,0.0277,0.348,0.275,0.362,130.739,-1.8100415103692753
910,90's Country,Walker Hayes,4VVvKg5swvHf34JI7uwL2L,2018-08-30,0.738,0.718,-5.777,0.0414,0.163,0.207,0.685,125.047,-1.9773908510642033
911,Be Alright,Parmalee,7MPc82UJLQm5VasRVkwquM,2019-03-15,0.598,0.861,-3.215,0.0424,0.0453,0.257,0.325,128.025,-1.9842376614476382
912,Shut Up And Fish,Maddie & Tae,6uHw1tIbsYjES6kT5NbI79,2015-06-02,0.609,0.882,-2.683,0.0526,0.258,0.315,0.857,126.041,-3.0068962177729635
