,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
943,Space - Acoustic Version,Biffy Clyro,63z4jrxNSqlNkYPzGzY3Od,2021-02-26,0.562,0.324,-7.883,0.0274,0.552,0.199,0.457,101.883,-38.205287337879064
944,Hey,Pixies,0p5eZCY0R7uNCZS1YDtIYI,1989-04-17,0.59,0.372,-12.37,0.0318,0.00105,0.316,0.306,99.887,-40.8556753404938
945,Need a Little Love,The Fratellis,0ZLVVLGWen1f6sT2ry0zDc,2021-04-02,0.546,0.688,-6.042,0.0287,0.00245,0.121,0.457,97.977,-41.95663953055883
946,All I Think About Now,Pixies,5kMiMqkz9T8fwvWhAFgGNG,2016-09-30,0.253,0.575,-7.833,0.0311,0.00409,0.141,0.214,185.717,-44.005922769412294
947,Poor Boy a Long Way From Home,The Black Keys,3YZFMK3zwAGbCMZQGWY47J,2021-05-14,0.404,0.924,-5.387,0.0701,0.00123,0.442,0.417,93.418,-46.48627101180198
948,"Tales of Endurance, Pt. 4, 5 & 6",Supergrass,0kAFTd3dWytNQPVF18jCIv,2005-06-13,0.282,0.648,-7.604,0.0291,0.012,0.216,0.117,91.536,-48.482763995563744
949,All My Love - Remaster,Led Zeppelin,5hhVpGIBlqAU5yJEOmrk5o,1979-08-15,0.554,0.791,-8.326,0.0288,0.113,0.166,0.697,91.108,-48.96776170666352
950,Arms Around Your Love,Chris Cornell,1wjJ3p7vxEhUZJkrNMbI9f,2007-01-01,0.473,0.819,-3.164,0.0372,0.0438,0.0729,0.555,88.956,-50.9318822554508
951,"Lover, Please Stay",Nothing But Thieves,3QxCvkqWdkMqy3CPxOhZ24,2015-10-16,0.269,0.122,-10.408,0.0334,0.952,0.0915,0.118,83.967,-56.29451359616082
952,Wake Up,Mad Season,5xhQOnyRJfRywbEwpkgoTy,1995,0.339,0.276,-10.746,0.0285,0.141,0.1,0.308,83.181,-57.103969442929696
953,Again,Lenny Kravitz,5c1QJAiC3773EwiZLwHf5x,2000-01-01,0.55,0.804,-5.218,0.0271,0.0148,0.105,0.789,79.166,-60.730411038075545
954,"Holy Toledo! (from the Original Motion Picture “Mark, Mary & Some Other People”)",Green Day,3fRK9qG08iZyWvqjOWkdKc,2021-11-05,0.253,0.863,-5.556,0.0924,0.000639,0.103,0.423,202.983,-61.122952848107076
955,Black,Pearl Jam,5Xak5fmy089t0FYmh3VJiY,1991-08-27,0.36,0.684,-6.457,0.0308,0.323,0.34,0.2,77.15,-62.78269635964292
956,I Started a Joke - Digging the Grave B-Side; 2016 Remaster,Faith No More,55SPBSeDjW6ZHtbPVr6gFe,1995,0.458,0.565,-7.083,0.0455,0.0686,0.125,0.355,73.482,-66.47351797949776
957,Little Wing,Jimi Hendrix,1Eolhana7nKHYpcYpdVcT5,1967-12-01,0.515,0.534,-8.045,0.0768,0.181,0.0547,0.426,70.776,-69.2268060266157
958,Slow Ride,Colt Ford,6OEX8FPaHyUyftZJWsve3Y,2019-09-20,0.671,0.771,-4.732,0.0463,0.00284,0.187,0.639,142.01,-0.4269331215903136
959,Loud,Tech N9ne Collabos,7LG1SR44Kh4f9lgyXSdWTD,2010-07-27,0.865,0.878,-2.637,0.271,0.252,0.107,0.763,140.075,-0.6698421214773693
960,Nikki Sixx,Doobie,4U1j4Di9S3dSqckssFU8kl,2017-12-08,0.911,0.479,-5.275,0.202,0.381,0.151,0.682,140.006,-0.7827912819265381
961,Beast Unleashed,Vin Jay,31JBtF1HCTZlFnmJDxZrD4,2018-10-25,0.722,0.758,-5.797,0.102,0.0532,0.452,0.551,140.009,-1.0974331132492048
962,Ghost - Acoustic,Badflower,23SVad8eDBAtoCFgF8vOFl,2018-09-28,0.669,0.517,-5.97,0.0345,0.424,0.155,0.354,140.931,-1.1151369860272728
963,Good F**King Music,Solence,75qezFTBIjU7OkoWGeD10Z,2021-09-10,0.507,0.723,-5.747,0.175,0.00831,0.195,0.706,142.935,-1.7640565318952612
964,Drinking About You,Ryan Oakes,4I2tqjsuVgRMX2rpuOCPbL,2014-09-09,0.659,0.72,-7.199,0.0979,0.191,0.111,0.0933,140.065,-2.3853565598623243
965,D.R.E.A.M.,Jonny Craig,1nFwdOtgSlwlauOjoWX5qv,2020-04-10,0.56,0.738,-6.505,0.063,0.359,0.185,0.254,143.093,-2.410536560925328
966,You're a Fucking Bitch Hope You Know That Shit,Atlus,06q3sUgkq2k7uhdsi1fczX,2021-06-18,0.79,0.66,-5.677,0.248,0.399,0.104,0.652,143.904,-2.5482274185020266
967,What If I Was Nothing,All That Remains,28urem2KpSOkljclEk8X8G,2012-11-06,0.436,0.772,-5.81,0.0377,0.00556,0.104,0.229,144.015,-2.653884146538246
968,Bad Habits,Nerv,4cHwYbwMyG4kn2wdUIVx43,2018-03-29,0.496,0.877,-3.364,0.0475,0.0643,0.118,0.361,136.967,-2.9580978914291913
969,In My Zone,Rittz,5i2bkKprKcLgcYb07g7I5u,2014-09-09,0.723,0.691,-6.784,0.219,0.279,0.0363,0.512,138.038,-3.0523151837446845
970,Ghost,Ryan Caraveo,7CHMY5TN1e8oqDnRwwJR61,2018-02-12,0.75,0.637,-8.473,0.0673,0.303,0.0621,0.33,139.983,-3.6474304724661124
